输入,交易方向,结算速度,对手方,交易日,债券代码,金额 (万),收益率 (%),备注
1. 210210 1.565 6000 +0 太原农商银行 6k 出给 乾县农联社 3k请求+旬邑农联社 2k请求+礼泉农联社 1k请求,买入,T+0,太原农商银行,2026-05-28,210210,6000,1.565,上家太原农商银行，下家乾县农联社、旬邑农联社、礼泉农联社，履行做市商职责，上下家不偏离。
1. 210210 1.565 6000 +0 太原农商银行 6k 出给 乾县农联社 3k请求+旬邑农联社 2k请求+礼泉农联社 1k请求,卖出,T+0,乾县农联社,2026-05-28,210210,3000,1.565,上家太原农商银行，下家乾县农联社、旬邑农联社、礼泉农联社，履行做市商职责，上下家不偏离。
1. 210210 1.565 6000 +0 太原农商银行 6k 出给 乾县农联社 3k请求+旬邑农联社 2k请求+礼泉农联社 1k请求,卖出,T+0,旬邑农联社,2026-05-28,210210,2000,1.565,上家太原农商银行，下家乾县农联社、旬邑农联社、礼泉农联社，履行做市商职责，上下家不偏离。
1. 210210 1.565 6000 +0 太原农商银行 6k 出给 乾县农联社 3k请求+旬邑农联社 2k请求+礼泉农联社 1k请求,卖出,T+0,礼泉农联社,2026-05-28,210210,1000,1.565,上家太原农商银行，下家乾县农联社、旬邑农联社、礼泉农联社，履行做市商职责，上下家不偏离。
2. 240205 1.7075 3000 +0 陕西岐山农商银行 3k请求 + 太原农商银行 2k + 渭南市临渭农联社 1k 出给 陕西杨凌农商行 6k请求,买入,T+0,陕西岐山农商银行,2026-05-28,240205,3000,1.7075,上家陕西岐山农商银行、太原农商银行、渭南市临渭农联社，下家陕西杨凌农商行，履行做市商职责，上下家不偏离。
2. 240205 1.7075 3000 +0 陕西岐山农商银行 3k请求 + 太原农商银行 2k + 渭南市临渭农联社 1k 出给 陕西杨凌农商行 6k请求,买入,T+0,太原农商银行,2026-05-28,240205,2000,1.7075,上家陕西岐山农商银行、太原农商银行、渭南市临渭农联社，下家陕西杨凌农商行，履行做市商职责，上下家不偏离。
2. 240205 1.7075 3000 +0 陕西岐山农商银行 3k请求 + 太原农商银行 2k + 渭南市临渭农联社 1k 出给 陕西杨凌农商行 6k请求,买入,T+0,渭南市临渭农联社,2026-05-28,240205,1000,1.7075,上家陕西岐山农商银行、太原农商银行、渭南市临渭农联社，下家陕西杨凌农商行，履行做市商职责，上下家不偏离。
2. 240205 1.7075 3000 +0 陕西岐山农商银行 3k请求 + 太原农商银行 2k + 渭南市临渭农联社 1k 出给 陕西杨凌农商行 6k请求,卖出,T+0,陕西杨凌农商行,2026-05-28,240205,6000,1.7075,上家陕西岐山农商银行、太原农商银行、渭南市临渭农联社，下家陕西杨凌农商行，履行做市商职责，上下家不偏离。
3. 240215 1.735 2000 +0 德州陵城农商银行 请求 出给 浙江绍兴恒信农商银行,买入,T+0,德州陵城农商银行,2026-05-28,240215,2000,1.735,上家德州陵城农商银行，下家浙江绍兴恒信农商银行，履行做市商职责，上下家不偏离。
3. 240215 1.735 2000 +0 德州陵城农商银行 请求 出给 浙江绍兴恒信农商银行,卖出,T+0,浙江绍兴恒信农商银行,2026-05-28,240215,2000,1.735,上家德州陵城农商银行，下家浙江绍兴恒信农商银行，履行做市商职责，上下家不偏离。
4. 250022 1.739 1000 +0 东海农商银行 出给 山西孝义农商银行 请求,买入,T+0,东海农商银行,2026-05-28,250022,1000,1.739,上家东海农商银行，下家山西孝义农商银行，履行做市商职责，上下家不偏离。
4. 250022 1.739 1000 +0 东海农商银行 出给 山西孝义农商银行 请求,卖出,T+0,山西孝义农商银行,2026-05-28,250022,1000,1.739,上家东海农商银行，下家山西孝义农商银行，履行做市商职责，上下家不偏离。
5. 240215 1.745 1000 +0 酒泉农商行 请求 出给 浙江绍兴恒信农商银行,买入,T+0,酒泉农商行,2026-05-28,240215,1000,1.745,上家酒泉农商行，下家浙江绍兴恒信农商银行，履行做市商职责，上下家不偏离。
5. 240215 1.745 1000 +0 酒泉农商行 请求 出给 浙江绍兴恒信农商银行,卖出,T+0,浙江绍兴恒信农商银行,2026-05-28,240215,1000,1.745,上家酒泉农商行，下家浙江绍兴恒信农商银行，履行做市商职责，上下家不偏离。
